"Name","Target"
William Spicer Wood,APS
William Spicer Wood,ASL
William Spicer Wood,AI
William Wilson,APS
William Wilson,ASL
James Wilson,APS
James Wilson,ASL
E T Wakefield,APS
E T Wakefield,ASL
E T Wakefield,HOD
John Ross,APS
John Ross,HOD
J Robinson,APS
J Robinson,ASL
J Robinson,HOD
William Horton Lloyd,APS
William Horton Lloyd,ESL
Joseph Lister,APS
Joseph Lister,ESL
Joseph Lister,HOD
Jonathan Hutchinson,APS
Jonathan Hutchinson,ASL
Jonathan Hutchinson,AI
William Holmes,APS
William Holmes,ASL
Thomas (1) Hodgkin,QCA
Thomas (1) Hodgkin,APS
Thomas (1) Hodgkin,ESL
Thomas (1) Hodgkin,HOD
Thomas (1) Hodgkin,HOD
John Henry Gurney,APS
John Henry Gurney,ESL
George Stacey Gibson,APS
George Stacey Gibson,ASL
Charles Henry Fox,APS
Charles Henry Fox,ESL
Charles Henry Fox,AI
William Fowler,APS
William Fowler,ESL
Robert Nicholas Fowler,APS
Robert Nicholas Fowler,ESL
Robert Nicholas Fowler,AI
Robert Nicholas Fowler,HOD
James T J Doyle,APS
James T J Doyle,ASL
David Dale,APS
David Dale,ESL
Henry Crowley,APS
Henry Crowley,ASL
Henry Crowley,AI
x Collier,APS
x Collier,ESL
William Clay,APS
William Clay,ESL
Henry Christy,APS
Henry Christy,ESL
Henry Christy,HOD
Charles Buxton,APS
Charles Buxton,ASL
William Bull,APS
William Bull,ASL
William Bull,AI
Antonio Brady,APS
Antonio Brady,ASL
Antonio Brady,AI
James Bell,APS
James Bell,ESL
James (1) Backhouse,APS
James (1) Backhouse,ESL
James (1) Backhouse,HOD
James (1) Backhouse,HOD
Edward Backhouse,APS
Edward Backhouse,ESL
Edward Backhouse,AI
S  Stafford Allen,APS
S  Stafford Allen,ASL
William Aldam,APS
William Aldam,ESL
Arthur Albright,APS
Rachel Albright,APS
William Albright,APS
William Jun Aldam,APS
Frederick Alexander,APS
Samuel Allen,APS
John Arch,APS
R Arthington,APS
R Jun Arthington,APS
C Ashby,APS
T Jun Ashby,APS
Thomas Ashby,APS
Thomas Jun Ashby,APS
Catherine Backhouse,APS
Jonathan Backhouse,APS
Jonathan Backhouse,HOD
S Baker,APS
Robert Barclay,APS
Richard Barrington,APS
Edward Beck,APS
Eliza Bell,APS
Frederick J Bell,APS
S S Bell,APS
Samuel Bewley,APS
x Biffin,APS
J Binyon,APS
E L Birkbeck,APS
H Birkbeck,APS
W Blaine,APS
Elizabeth Bowley,APS
Henry Brady,APS
Charles L Braithwaite,APS
L Braithwaite,APS
Isaac Brown,APS
Joshua Brown,APS
Lydia Brown,APS
Sarah Burgess,APS
Thomas Burgess,APS
Thomas Fowell Buxton,APS
Thomas Fowell Buxton,HOD
Thomas Fowell Buxton,HOD
W Catchpool,APS
x Charleton,APS
Samuel Clark,APS
W Clemes,APS
C Clothier,APS
Joseph Cooper,APS
George Crosfield,APS
Joseph Crosland,APS
A Crowley,APS
A Dale,APS
Elizabeth S Dawes,APS
John Dodshon,APS
Daniel Doncaster,APS
Elizabeth Dyer,APS
R Dymond,APS
William Dyson,APS
A Ellis,APS
Thomas Evans,APS
Ann Everett,APS
Joseph Farden,APS
John Fell,APS
Mary Fell,APS
S H Fisher,APS
Caleb Fletcher,APS
Martha Fletcher,APS
John Ford,APS
George Fox,APS
Henry Fox,APS
Robert Were Fox,APS
x Fox,APS
W Gayner,APS
Joseph Gibbens,APS
Ann Gibson,APS
Francis Gibson,APS
F  E Gibson,APS
W G Gibson,APS
W G Gibson,HOD
T Gill,APS
J Gillett,APS
John Gillett,APS
J Gilpin,APS
James Gingell,APS
John Good,APS
Josiah Grace,APS
Thomas Graham,APS
John Green,APS
T Gregory,APS
G Grimshaw,APS
x Hadfield,APS
x Hadfield,HOD
Isaac Hadwen,APS
Robert Harding,APS
Henry Harris,APS
Lydia Harris,APS
Thomas Harvey,APS
Thomas Harvey,HOD
George Head,APS
Sarah Head,APS
H Headley,APS
W Hewitson,APS
Charles Hicks,APS
Elizabeth Hills,APS
James Hills,APS
John Hills,APS
Gurney Hoare,APS
Maria Hooper,APS
J Hopkins,APS
Rebecca Hopkins,APS
Mary Horsnail,APS
Elizabeth Howard (2),APS
Elizabeth Howard,APS
Thomas Hughes,APS
Thomas Hughes,HOD
Henry Hunt,APS
T Hunt,APS
J Hurnard,APS
John C Isaac,APS
John James,APS
Charles Janson,APS
Samuel Jesper,APS
Benjamin Jowett (2),APS
John Jun Jowett,APS
Robert Jowett (2),APS
John King,APS
Samuel King,APS
Thomas King,APS
Alfred Kitching,APS
C Knight,APS
John Lee,APS
x Leitch,APS
Thomas Letchmore,APS
Thomas x Jun Letchmore,APS
Thomas Letchworth,APS
Thomas Jun Letchworth,APS
Thomas x Jun Letchworth,APS
S Lloyd,APS
Edward Lucas,APS
Rebecca Lucas,APS
Thomas Marriage,APS
John Marsh,APS
R Marsh,APS
William Matthews,APS
William Mattravers,APS
D Miller,APS
John Morrison,APS
E Neave,APS
Mary Overend,APS
W J Palmer,APS
J Pears,APS
Edward Priestman (2),APS
John Priestman,APS
James Ransome,APS
Robert Ransome,APS
William Rathbone,APS
J Jun Read,APS
Edward Richardson,APS
Henry Richardson,APS
W Richardson,APS
R M Rickman,APS
S Rickman,APS
S Rickman,HOD
J Rooke,APS
Alfred Rosling,APS
John S Rowntree,APS
Joseph Rowntree,APS
Samuel Rundall,APS
Henry Russell,APS
Joseph Sams,APS
J A Sanders,APS
Mary Sansom,APS
Micheal Scatterthwaite,APS
S Scatterthwaite,APS
Benjamin Seebohm,APS
William Seebohm,APS
Charles Sessions,APS
Robert Simpson,APS
Alfred Smith,APS
Edward Smith,APS
Richard Smith,APS
Richard Smith,HOD
